Trial #,Terrain Type,Time to End,sd of acc_x,sd of acc_y,sd of acc_z,sd of rotation rate around x,sd of rotation rate around y,sd of rotation rate around z,sd_velocity,total_velocity
12,tile,8.7,0.08858837443083445,0.09074916312180568,0.10205945850224087,4.374657459050611,8.457841021318039,4.429480829351421,77.32536323424519,60.22988505747127
12,tile,19.95,0.08644452123178144,0.09339442477374978,0.11317352639549574,4.409377801707593,8.164332615083852,4.729845746607048,48.0910778479055,65.6140350877193
2,tile,20.61,0.09263913896920163,0.09109062950527175,0.10137035620328815,4.984405696225015,8.889770566877818,4.894938257392281,37.65250080032918,69.5778748180495
3,tile,20.87,0.08879578496189959,0.09726484400526667,0.10812398250808042,4.801917999233947,8.189260474531768,4.998182545416881,45.49494856640232,73.21514135122185
20,tile,20.72,0.08725044375675797,0.09471379897411623,0.10982581807669359,4.798348362047578,8.772498692401978,4.817166198924775,30.48960294628283,73.55212355212356
25,tile,19.86,0.08427309940888407,0.08459907320409854,0.10431212573038173,4.283161494089106,8.555635410893947,4.814752948326395,42.87651577812205,76.83786505538771
19,tile,19.95,0.085331238775926,0.08712621175803646,0.10327665906873566,4.358815680525185,8.42239329832889,4.675099638547238,40.02930952816667,76.39097744360903
26,tile,19.89,0.08771553828544311,0.08998584166770615,0.111757021057903,4.520458123075278,8.314983885472252,4.784999164060722,42.44051152211996,77.37556561085972
24,tile,20.66,0.08857077341068888,0.08611157186040319,0.10525109486379525,4.611632843494545,9.682301239575203,5.3922220707083,33.70992812206378,73.81413359148112
14,tile,20.67,0.0897834016072193,0.08587407828602768,0.10333175905638325,4.486566712281256,8.4597943091385,4.87341027559076,34.90361437714681,73.68166424770197
28,tile,19.95,0.0851024014106261,0.09195464993209397,0.09656203200992869,4.326832559685185,8.297468596272417,4.733136917007215,23.950906395369746,76.44110275689223
10,tile,19.96,0.09046063203412402,0.0926031208362753,0.10648031060364702,4.581233306524588,8.39836037138095,4.705757992693237,38.693325163764314,76.65330661322645
7,tile,20.67,0.08972254296290137,0.08835048945234525,0.10227090657403316,4.486685374235249,8.301580167632375,4.957672566602593,31.88684609408801,73.97194000967585
15,tile,20.76,0.09046307112669913,0.08603767617397137,0.10912610646335309,4.408043519370339,8.592279790438445,5.153746338986756,46.920210480866686,62.90944123314065
1,tile,19.99,0.090709819240596,0.09071157944418165,0.12020864538241777,5.005339050275409,8.413639642254383,4.9842134936191895,80.18643765451033,44.57228614307154
30,tile,20.61,0.08665113291784758,0.08708871553722483,0.10145007281858691,4.367836892835499,8.376548047404045,4.8523194192298424,30.64612108079979,74.23580786026201
8,tile,19.9,0.08363407875886338,0.09109998681181303,0.10025412849388668,4.459827164861574,8.406271316738714,4.765542521705138,40.55896252032768,69.2964824120603
6,tile,20.67,0.08688870627619334,0.08772960268278485,0.11195796986628032,4.658712291480175,7.9738883264895435,4.992019260676202,48.98532455854178,63.37687469762941
13,tile,19.95,0.09050148731426165,0.09119273392739927,0.1082692879767767,4.374366104624629,8.28188035830217,4.710095555646979,37.85491316882218,76.24060150375941
17,tile,19.96,0.08732289582423564,0.0899145618622206,0.10872710777469424,4.611631511273633,8.378517411505344,4.720096318646783,34.55562705185287,76.50300601202404
21,tile,19.9,0.09154576686169731,0.0926377042099541,0.11657437670133836,4.65312372426497,8.29709657601414,4.736079357896685,38.943983419887616,76.58291457286433
11,tile,19.95,0.09275415503121857,0.09635557480942022,0.11057404758844412,4.68817811117347,8.19698879664143,4.789719531460672,42.494614966107015,69.52380952380953
5,tile,20.67,0.08572599053015892,0.09440432039805496,0.11432733027743149,4.752352746623512,8.305645126004936,4.79147950064649,122.19737561821698,58.44218674407353
23,tile,19.86,0.08756423655398263,0.09533678898160386,0.1069305624075835,4.706455265449891,8.293764521259583,4.910260129661617,32.67236721683162,76.73716012084593
29,slippery,21.23,0.061935224053880515,0.0688340813402905,0.09168687108990425,3.3338602266400446,8.482799379805007,6.611825399586607,93.46860480499423,26.048045219029675
9,slippery,20.82,0.06163444712787921,0.06697310283658717,0.09837413213779667,3.5772330748555454,8.381267777723062,6.284929150446711,96.12347231610613,24.73583093179635
12,slippery,17.91,0.05828852375518503,0.07117605488617017,0.09971378865931452,3.498222499414065,8.71766888265834,7.237548801601519,150.6028348921461,28.86655499720826
3,slippery,22.04,0.06476689941742382,0.06625334057084355,0.10126047512967137,3.3235551916908825,8.54452716675862,7.242432105572465,44.76412497841906,25.0
14,slippery,21.18,0.06261767991397711,0.06843089327798386,0.1005136411471371,2.975265824637766,8.748102350223435,6.758791757638347,148.16358673845167,28.847969782813976
11,slippery,22.56,0.056046144120354635,0.0677437936734525,0.09304221285175991,3.252909141400942,8.397959327950584,7.533882867452997,152.16370720255438,23.537234042553195
12,slippery,21.34,0.060968828793862645,0.07159117456730853,0.09810080969108387,3.3000490806370557,8.60835495119511,7.042453483776805,141.2753277408871,23.992502343017808
30,slippery,20.72,0.05656489701015173,0.06773977169952568,0.1009465586512695,3.1339869557624196,8.445742035218425,6.091609000796626,88.12226476161084,29.391891891891895
1,slippery,22.72,0.07476156397865641,0.07572408158567996,0.10598432295616951,4.413283002646076,8.094920740028122,7.105243606135886,38.090277333401545,22.62323943661972
16,slippery,20.88,0.0645126060817933,0.06821104239651328,0.0972589747040964,3.159490247831204,8.472362925501836,6.690170890109224,95.38816212818348,26.915708812260537
5,slippery,21.27,0.06481229807983895,0.07083697354548495,0.09854063445470013,3.259450821360108,8.770288300208028,7.254400166798108,74.11863728342203,24.63563704748472
27,slippery,1.38,0.052393786522707056,0.05871200737970784,0.08302474978503874,2.9016599389115956,7.905112766153257,4.941086768002745,76.15529941921066,417.3913043478261
1,slippery,23.58,0.058549420068712325,0.067294028046385,0.09081514590777874,3.3443498356591372,8.8420853791985,7.421493329733331,90.30749243082582,21.882951653944023
15,slippery,21.38,0.0633074858138985,0.06703618606558866,0.09350022581080278,3.258180477146603,8.622078344982711,7.452668832008215,137.20360548996845,24.181478016838167
26,slippery,21.38,0.061186770419102886,0.0672858500311478,0.10163157289797353,3.2203216925881426,8.407339951644392,6.596336378931172,130.66876645322463,24.555659494855007
32,slippery,21.07,0.06455914078848211,0.07322425300415056,0.0999764351175245,3.3825415703490953,8.804146439832136,6.14987173838445,139.84556042243605,24.44233507356431
4,slippery,22.72,0.06566335305829589,0.06868057731588982,0.09929634095792968,3.3964909852078873,8.618515749879291,8.051802943507063,46.27596649311789,24.20774647887324
28,slippery,16.93,0.05704074642081385,0.06739943530974735,0.10012101444237825,3.2271836193042596,8.580159853227656,6.179799192543851,79.56597002340264,35.67631423508565
27,slippery,20.72,0.06363352245471338,0.06644188745220862,0.09637367222353849,3.1768527320974105,8.784208368503235,6.046880343534519,135.8497645140341,28.37837837837838
25,slippery,21.33,0.06107657026951865,0.06558981690911002,0.09640587879753165,3.3907489730178635,8.784246332356382,7.118412462349724,127.27000715905281,27.56680731364276
1,slippery,22.09,0.07485465539087885,0.07904319605194383,0.11404003195743817,4.9511985846526825,8.738247823885354,7.099371604128881,24.10733457367101,24.219103666817563
8,slippery,18.27,0.06175483365752109,0.07046521465916128,0.10053063482875234,3.7725470285579132,8.835139348795673,7.981930350700464,137.1826342074333,26.87465790914067
17,slippery,21.07,0.057945028076718495,0.0703429154630641,0.09447853972634465,3.324326784511847,9.039805442931609,6.880119872967553,106.61457164293121,26.815377313716183
31,slippery,21.28,0.06621914709083701,0.0684369283158568,0.09274236583575685,3.2560685130947826,8.947833738127496,6.784222758738234,110.2777683843975,25.32894736842105
33,slippery,20.66,0.06229938138878947,0.06820889270662178,0.08883283082342987,2.9115104622111216,8.626728311132814,6.082292090383024,109.64933266690956,25.79864472410455
19,slippery,21.99,0.057201560230672466,0.06847265778706331,0.1022624006241652,3.1372550252030322,8.699360286076182,6.681050107310441,57.81563661042287,26.466575716234654
13,rocky,22.31,0.12056332178881647,0.11829339970045186,0.17878447744157588,10.46315041593991,13.36019074279029,9.528104491777055,79.11195413950023,19.13939937247871
4,rocky,27.58,0.13578821604100502,0.12458760565583087,0.18143466042926326,7.783953890858282,14.375284462561686,10.787298984301334,78.11854690942442,18.854242204496014
36,rocky,31.01,0.14374406521550487,0.135343996927121,0.22621199575497722,11.88701879128198,15.241904581744729,10.883243767446988,50.910108575828524,16.414059980651402
18,rocky,23.74,0.1076033045838343,0.12220033621858992,0.15579957534599964,8.810932823104425,11.5169356509346,9.366109984360905,54.95864732674408,18.11288963774221
7,rocky,28.19,0.13449546309494786,0.12764601222035277,0.20992259865040527,7.5124641561884316,14.022563587217038,11.223651537105475,58.393834393071934,25.54097197587797
30,rocky,25.83,0.16434527219726347,0.13166923602924113,0.16302782356010265,12.39921067581086,12.846504553203365,10.3150071001856,97.63535729347302,28.61014324428959
24,rocky,25.48,0.13246265825971199,0.12352380008737844,0.21064628138593677,11.987021296774131,13.374137382495043,9.55520397137148,84.23921784209551,27.354788069073784
3,rocky,25.53,0.11902971314078191,0.12252969104876876,0.2447738925436983,8.598305941743407,12.812287614704907,11.536240028106718,67.30569135019832,43.55660007833921
220,rocky,15.61,0.11492988594542425,0.11356602229981273,0.165273950962768,8.688441281099465,12.30658507343455,9.339494074290592,84.30784735422853,27.482383087764255
9,rocky,23.54,0.14723909449768388,0.13296850397597199,0.21602264051803965,11.80825503957971,12.445816439256268,10.418466535514417,29.698289000634656,31.30841121495327
23,rocky,25.33,0.10790258479267802,0.12264029061772708,0.1816412825296132,10.627040888143553,11.399297841415171,8.268006815599206,74.27557107916992,28.306356099486777
5,rocky,25.07,0.13390043749154987,0.124970182807891,0.2021255818407141,9.953132714786959,13.031668848491776,10.258614297822099,72.10997550452808,29.397686477861985
17,rocky,6.09,0.08682908117217766,0.09316841468680914,0.11510375301450858,6.818055318276233,10.059132966822789,7.372593841325841,81.535198289634,70.11494252873564
1,rocky,23.53,0.11308797146980973,0.11302178032422774,0.17640183785758637,10.401910311121814,12.85917971556811,10.115561959222266,89.36713033286873,45.431364215894604
15,rocky,23.58,0.10471988979659462,0.11395666296559709,0.20699193781898179,11.563773222563164,12.045707821358729,8.80492260111489,65.90242213832713,18.320610687022903
226,rocky,24.15,0.12367359356736825,0.11889897533471924,0.15914762996238274,9.763843967611374,13.908053520216201,10.484811992780804,58.43243380536175,28.157349896480333
25,rocky,25.58,0.12916709335247586,0.11732812438816134,0.1837078750528143,10.116799833001076,14.377230144544509,11.216290836884768,33.898442206095545,27.404222048475372
27,rocky,22.62,0.10621303818730944,0.11116332596918467,0.16975664987255792,9.69111742321369,11.111364430612847,9.326963035759945,29.47738598441371,30.41556145004421
2,rocky,0.0,,,,,,,0.0,0.0
19,rocky,22.46,0.12680929972376997,0.1423444189772431,0.16798528791573422,9.583373276227652,11.93587386828749,9.07860850137437,54.36960104488158,18.967052537845056
21,rocky,25.12,0.12649465238351498,0.12466330229645022,0.2244551195006413,10.285135000902608,13.447411547588809,10.767636455823851,74.8988754724122,20.501592356687897
20,rocky,23.63,0.12519735995455483,0.13167977901783676,0.16406026642666027,10.093545797183708,11.348046434685795,8.928839672296343,58.6986346750206,18.154887854422345
22,rocky,25.02,0.12301265098382608,0.1409980985168,0.1667420431966176,11.913258670745952,14.02017631773447,11.318202185354766,126.49890824560278,47.20223820943245
31,rocky,29.2,0.12882277476177392,0.14267970135917288,0.16661651107222528,12.037221058650813,12.79392526818719,9.510149265114816,44.38990651674049,18.904109589041095
10,rocky,22.76,0.1267080836908169,0.11247248987478448,0.1480606037770403,8.387198818755344,10.7693080306502,9.368153891888763,47.75681283941821,31.985940246045693
29,rocky,23.93,0.11988567244741226,0.13344885712775087,0.18024493682566475,11.358695940738363,11.660210371306524,8.434657903107071,61.916879994936764,31.007104053489343
345,rocky,29.22,0.12498512772609645,0.14792180456109813,0.17491655043342041,11.738284954472734,12.534213680367479,9.823880715513996,46.66481045069237,17.727583846680357
12,rocky,23.69,0.10514706058392802,0.10882711152664902,0.13380999827009946,7.919146086239968,10.720174373057413,9.89122196885098,42.90054285449456,18.151118615449555
17,rocky,23.74,0.13045576969988182,0.11357879029636975,0.18650582894698556,9.459516529719412,13.079851257572534,9.675386394720988,56.83610094388834,18.07076663858467
31,rocky,14.12,0.1360496110879733,0.15036057585230098,0.18822448434462996,12.63527759460679,12.204910740829163,9.17481449006078,16.049496141686703,35.552407932011334
8,rocky,23.99,0.12234597404686764,0.1232642298789988,0.1588788990483401,11.48351378448374,12.94691212791612,11.365407488689213,48.683817100657144,30.429345560650273
38,rocky,30.24,0.11921737073403732,0.11471700183639902,0.15112838047425453,11.321168878497309,10.753527343214005,10.13672155517618,84.13318704264505,17.261904761904763
11,rocky,22.25,0.11240086618996152,0.12083185310387046,0.14990378592764858,9.202700754807736,11.852751328721675,8.925588559888945,110.8272256191279,19.191011235955056
2,rocky,25.42,0.117017548540714,0.11302155305350316,0.17445943811064832,9.380901185621891,10.995173618631062,9.779474407652089,71.33939676806678,14.083398898505113
32,rocky,33.77,0.17805102986968288,0.14625126593775267,0.2176343511310812,14.54324905124405,15.361443097306148,12.319464737491087,32.162233811514966,15.30944625407166
28,rocky,26.76,0.11521439317549051,0.12588885327827412,0.16230547194502162,10.954818861453763,12.884011440575666,9.04079570573952,48.872013288421094,25.859491778774288
37,rocky,22.66,0.12373475904017278,0.12914775294483388,0.17601205580986395,12.38770099471875,13.499030467042106,10.010196873451703,64.05645611955549,22.771403353927624
33,rocky,28.09,0.14223742619800697,0.14332157485818595,0.17887774570880513,11.582371957396722,12.404968078625107,10.288494317292177,45.52223006125398,18.405126379494483
